Group,Sub-group,Brand,Products,P/M,Logo,Comment,Updated,Barcode,Guideline-Product
Alcohol,Liqueurs,Herman Jansen,Chocolate Mint,P,,Products must have London Beit Din hechsher.,NO DATE,,Product
Alcohol,Liqueurs,Herman Jansen,Cherry Brandy,P,,Products must have London Beit Din hechsher.,NO DATE,,Product
Alcohol,Liqueurs,Herman Jansen,Advocaat,P,,Products must have London Beit Din hechsher.,NO DATE,,Product
Alcohol,Liqueurs,Herman Jansen,Kummel,P,,Products must have London Beit Din hechsher.,NO DATE,,Product
Alcohol,Liqueurs,Herman Jansen,Apricot Brandy,P,,Products must have London Beit Din hechsher.,NO DATE,,Product
Alcohol,Liqueurs,Herman Jansen,Triple Sec,P,,Products must have London Beit Din hechsher.,NO DATE,,Product
Alcohol,Liqueurs,Irish Mist,Whiskey Liqueur – NOT KOSHER,P,,,NO DATE,,Product
Alcohol,Liqueurs,Kahlua,Coffee Liqueur – If bottled or purchased in the USA must have OU logo,P,,,NO DATE,,Product
Alcohol,Liqueurs,LeJay Lagoute,Curacao Blue,P,,Products must be “ Product o f France”,NO DATE,,Product
Alcohol,Liqueurs,LeJay Lagoute,Triple Sec,P,,Products must be “ Product o f France”,NO DATE,,Product
Alcohol,Liqueurs,LeJay Lagoute,Litchi,P,,Products must be “ Product o f France”,NO DATE,,Product
Alcohol,Liqueurs,LeJay Lagoute,Pamplemousse Rose,P,,Products must be “ Product o f France”,NO DATE,,Product
Alcohol,Liqueurs,LeJay Lagoute,Crème de Peche,P,,Products must be “ Product o f France”,NO DATE,,Product
Alcohol,Liqueurs,LeJay Lagoute,Poire,P,,Products must be “ Product o f France”,NO DATE,,Product
Alcohol,Liqueurs,LeJay Lagoute,Parfait Amour,P,,Products must be “ Product o f France”,NO DATE,,Product
Alcohol,Liqueurs,LeJay Lagoute,Pomme Verte,P,,Products must be “ Product o f France”,NO DATE,,Product
Alcohol,Liqueurs,LeJay Lagoute,Crème de Myrtille,P,,Products must be “ Product o f France”,NO DATE,,Product
Alcohol,Liqueurs,LeJay Lagoute,Crème de Mure,P,,Products must be “ Product o f France”,NO DATE,,Product
Alcohol,Liqueurs,LeJay Lagoute,Crème de Fraise,P,,Products must be “ Product o f France”,NO DATE,,Product
Alcohol,Liqueurs,LeJay Lagoute,Crème de Framboise,P,,Products must be “ Product o f France”,NO DATE,,Product
Alcohol,Liqueurs,LeJay Lagoute,Banana,P,,Products must be “ Product o f France”,NO DATE,,Product
Alcohol,Liqueurs,LeJay Lagoute,Crème de Menthe Verte,P,,Products must be “ Product o f France”,NO DATE,,Product
Alcohol,Liqueurs,LeJay Lagoute,Cacao Blanc and Cacao Brun,P,,Products must be “ Product o f France”,NO DATE,,Product
